project,station_ID,date,time,minutes,lat,lat_rads,lon,northing,easting,el,drift_corr_grav
TBg,PCa,44746,0.615972222,0,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
TBg,12,44746,0.729166667,163,43.899626,0.766193001,-112.342121,4861600.097,392214.884,1447.899,3414.659417
TBg,13,44746,0.736111111,173,43.909142,0.766359087,-112.347516,4862663.658,391799.417,1449.283,3415.681583
TBg,14,44746,0.749305556,192,43.921207,0.766569661,-112.345172,4864001.259,392008.751,1451.228,3416.316
TBg,15,44746,0.758333333,205,43.93146,0.766748609,-112.337704,4865129.783,392627.067,1460.075,3415.447917
TBg,16,44746,0.767361111,218,43.943209,0.766953668,-112.337781,4866434.553,392642.896,1465.166,3415.386833
TBg,17,44746,0.775694444,230,43.948995,0.767054653,-112.33953,4867080.053,392512.41,1470.182,3414.731833
TBg,18,44746,0.786111111,245,43.953323,0.76713019,-112.341285,4867563.124,392379.193,1473.632,3414.437583
TBg,19,44746,0.799305556,265,43.959012,0.767229482,-112.33295,4868184.257,393058.052,1480.365,3414.722917
TBg,20,44746,0.808333333,278,43.962765,0.767294984,-112.324545,4868589.778,393739.121,1478.724,3415.726833
TBg,21,44746,0.818055556,292,43.965637,0.76734511,-112.319885,4868903.081,394118.415,1477.342,3417.010667
TBg,22,44746,0.826388889,304,43.973493,0.767482223,-112.312441,4869765.636,394729.278,1482.962,3417.153667
TBg,23,44746,0.8375,320,43.977155,0.767546137,-112.317347,4870179.21,394342.115,1524.214,3408.605333
TBg,24,44746,0.847222222,334,43.980378,0.767602389,-112.324363,4870546.319,393785.425,1558.386,3401.268167
TBg,25,44746,0.857638889,349,43.990788,0.767784078,-112.336542,4871718.131,392826.652,1573.77,3398.703917
TBg,26,44746,0.865277778,360,43.998968,0.767926846,-112.337723,4872628.068,392746.574,1572.285,3399.098
TBg,27,44746,0.872222222,370,44.004903,0.750577139,-112.33752,4873286.528,392774.294,1557.736,3402.218167
TBg,28,44746,0.88125,383,44.011606,0.750694128,-112.338731,4874033.235,392689.31,1514.411,3411.416083
TBg,29,44746,0.888194444,393,44.015395,0.768213551,-112.341124,4874456.89,392503.767,1485.653,3417.08425
TBg,PCb,44746,0.999305556,552,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
TBg,PCc,44748,0.59375,0,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
TBg,30,44748,0.709722222,107,44.024453,0.768371643,-112.354068,4875479.595,391482.926,1487.913,3415.419015
TBg,31,44748,0.73125,138,44.03182,0.768500222,-112.357668,4876303.286,391208.444,1479.245,3416.580206
TBg,32,44748,0.739583333,150,44.040254,0.768647423,-112.363889,4877247.553,390725.23,1479.948,3417.446441
TBg,33,44748,0.751388889,167,44.049103,0.768801867,-112.36177,4878227.91,390911.34,1485.665,3418.077191
TBg,34,44748,0.760416667,180,44.055422,0.768912154,-112.348981,4878912.986,391946.851,1495.026,3417.773529
TBg,35,44748,0.76875,192,44.06415,0.769064486,-112.347069,4879879.343,392115.874,1515.58,3414.831765
TBg,PCd,44748,0.924305556,476,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
TBg,PCe,44749,0.636805556,0,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
TBg,36,44749,0.724305556,126,43.998553,0.767919603,-112.381617,4872639.203,389227.107,1487.58,3414.336817
TBg,37,44749,0.731944444,137,43.990873,0.767785562,-112.38392,4871789.702,389027.724,1487.388,3413.592976
TBg,38,44749,0.74375,154,43.98791,0.767733847,-112.375796,4871449.514,389674.185,1517.212,3408.113221
TBg,038a,44749,0.745138889,156,43.98791,0.767733847,-112.375796,4871449.514,389674.185,1517.212,3408.11325
TBg,39,44749,0.754166667,169,43.985002,0.767683093,-112.367524,4871116.236,390331.778,1549.598,3401.386438
TBg,40,44749,0.827777778,275,43.958124,0.767213984,-112.362482,4868123.566,390686.803,1504.922,3408.673966
TBg,41,44749,0.840972222,294,43.969005,0.767403893,-112.355949,4869324.285,391230.827,1548.577,3400.96724
TBg,42,44749,0.85,307,43.975149,0.767511126,-112.344993,4869992.459,392121.134,1549.78,3401.703428
TBg,PCf,44749,0.070138889,624,43.777639,0.764063926,,4849840.392,311552.391,1691.649,3319.796
